Station_ID,City,Install_Date,Charger_Type,Daily_Avg_Utilization_Hrs,Avg_Charging_Rate_INR,Electricity_Cost_INR,Total_Energy_Dispensed_kWh,Maintenance_Incidents,Total_Maintenance_Cost_INR,Operational_Status,Install_Cost_INR,Total_Revenue,Total_Operational_Cost,Net_Profit,ROI
EV-0197,Coimbatore,2023-01-18,L2,5.22,18.95,9.28,58617.76,2,11671.92,Active,226790.39,1110806.55,555644.73,555161.82,244.79
EV-0198,Hyderabad,2024-02-20,L2,6.57,19.01,8.65,17203.5,5,13744.71,Active,244421.78,327038.54,162554.98,164483.56,67.29
EV-0199,Bangalore,2022-06-15,L2,5.21,18.39,8.68,58672.88,5,23784.79,Active,250619.58,1078994.26,533065.39,545928.87,217.83
EV-0200,Madurai,2023-07-07,DCFC,7.1,15.9,7.87,57863.0,4,14203.99,Under Maintenance,1429182.4,920021.7,469585.8,450435.9,31.52
EV-0202,Hyderabad,2023-06-28,DCFC,8.69,17.04,7.63,53880.65,5,16483.7,Offline,1366393.77,918126.28,427593.06,490533.22,35.9
EV-0203,Chennai,2022-01-01,L2,5.53,20.05,7.03,65772.39,6,21547.28,Active,208078.05,1318736.42,483927.18,834809.24,401.2
EV-0204,Madurai,2023-09-06,L2,4.29,21.24,8.15,58540.49,1,20483.19,Active,248550.13,1243400.01,497588.18,745811.83,300.06
EV-0205,Chennai,2022-11-28,L2,5.63,14.89,9.23,39797.46,2,17808.99,Active,263568.57,592584.18,385139.55,207444.63,78.71
EV-0207,Hyderabad,2022-01-20,DCFC,6.31,17.68,8.06,60955.35,2,3661.24,Active,1279247.27,1077690.59,494961.36,582729.23,45.55
EV-0208,Hyderabad,2022-04-25,L2,8.09,18.24,6.33,49197.52,3,15128.33,Active,166319.38,897362.76,326548.63,570814.13,343.2
EV-0209,Madurai,2023-01-07,DCFC,7.95,16.68,8.06,68814.27,1,15890.7,Active,1687694.04,1147822.02,570533.72,577288.3,34.21
EV-0210,Coimbatore,2022-11-11,DCFC,9.5,18.88,8.09,55935.22,4,14200.45,Active,1552151.61,1056056.95,466716.38,589340.57,37.97
EV-0211,Bangalore,2022-09-03,L2,4.47,18.63,8.68,61293.84,2,18535.5,Active,241625.8,1141904.24,550566.03,591338.21,244.73
EV-0212,Chennai,2022-03-01,DCFC,13.45,20.65,7.98,62321.01,2,19330.25,Active,1309128.42,1286928.86,516651.91,770276.95,58.84
EV-0213,Kochi,2022-09-04,DCFC,8.32,17.02,8.07,33999.76,1,13157.18,Active,1301751.6,578675.92,287535.24,291140.68,22.37
EV-0214,Madurai,2023-08-04,Unknown,4.81,21.82,7.37,50749.79,5,20194.99,Active,275240.12,1107360.42,394220.94,713139.48,259.1
EV-0215,Chennai,2022-03-22,L2,5.98,19.83,7.69,51410.99,5,12932.06,Active,195408.72,1019479.93,408282.57,611197.36,312.78
EV-0216,Chennai,2022-03-29,L2,2.13,18.68,8.51,65657.69,3,15323.27,Active,274897.73,1226485.65,574070.21,652415.44,237.33
EV-0217,Chennai,2024-01-20,L2,8.77,18.14,5.99,56948.5,2,19487.66,Active,267693.49,1033045.79,360609.18,672436.61,251.2
EV-0218,Coimbatore,2023-05-13,L2,5.96,17.89,7.68,47176.81,1,9946.66,Active,153261.12,843993.13,372264.56,471728.57,307.79
EV-0219,Coimbatore,2022-03-12,L2,8.52,18.02,8.69,30772.23,2,9404.07,Active,185918.22,554515.58,276814.75,277700.83,149.37
EV-0220,Hyderabad,2024-02-18,DCFC,7.02,18.84,9.64,26046.38,3,21789.7,Offline,1408407.03,490713.8,272876.8,217837.0,15.47
EV-0221,Madurai,2023-06-30,L2,6.04,18.08,7.6,54655.14,3,12036.44,Active,257642.61,988164.93,427415.5,560749.43,217.65
EV-0223,Chennai,2022-05-09,Unknown,2.96,18.85,9.69,59991.9,3,6123.39,Active,246156.35,1130847.32,587444.9,543402.42,220.75
EV-0224,Chennai,2022-05-12,L2,0.02,16.83,7.61,25352.9,2,2484.74,Active,207051.63,426689.31,195420.31,231269.0,111.7
EV-0225,Bangalore,2023-11-07,DCFC,9.17,19.14,7.44,73894.27,7,25231.73,Active,1477549.91,1414336.33,575005.1,839331.23,56.81
EV-0227,Coimbatore,2023-07-17,L2,3.28,19.89,7.92,51487.78,4,16868.16,Offline,181017.23,1024091.94,424651.38,599440.56,331.15
EV-0228,Kochi,2022-06-19,L2,0.08,20.48,9.09,75245.88,4,24373.54,Under Maintenance,254314.58,1541035.62,708358.59,832677.03,327.42
EV-0229,Hyderabad,2022-09-29,DCFC,8.91,20.48,7.23,64226.27,4,8813.29,Active,1224830.52,1315354.01,473169.22,842184.79,68.76
EV-0230,Coimbatore,2023-06-25,DCFC,12.41,19.14,9.54,42874.95,5,15190.94,Active,1219561.06,820626.54,424217.96,396408.58,32.5
EV-0231,Madurai,2023-09-14,L2,7.24,19.37,7.2,51163.64,4,22387.33,Active,187665.03,991039.71,390765.54,600274.17,319.86
EV-0232,Hyderabad,2023-03-10,L2,7.22,17.85,6.74,20535.89,4,9535.05,Active,192739.47,366565.64,147946.95,218618.69,113.43
EV-0235,Chennai,2024-02-13,L2,2.87,15.37,8.18,20341.63,2,14878.47,Active,289546.04,312650.85,181273.0,131377.85,45.37
EV-0236,Hyderabad,2024-01-18,L2,5.71,19.26,8.44,32272.42,5,3977.3,Active,233154.25,621566.81,276356.52,345210.29,148.06
EV-0237,Hyderabad,2023-12-08,L2,5.23,21.24,9.95,63063.68,5,18992.93,Offline,223639.76,1339472.56,646476.55,692996.01,309.87
EV-0238,Hyderabad,2022-07-25,L2,6.21,17.79,9.24,74207.04,2,8401.0,Active,215204.18,1320143.24,694074.05,626069.19,290.92
EV-0239,Coimbatore,2024-01-01,DCFC,8.57,17.35,8.03,50306.38,4,9745.54,Active,1269155.54,872815.69,413705.77,459109.92,36.17
EV-0240,Madurai,2022-11-16,L2,5.05,17.66,7.57,35269.23,0,20319.77,Active,153367.05,622854.6,287307.84,335546.76,218.79
EV-0241,Madurai,2023-02-13,L2,8.62,15.49,9.1,28688.75,2,14808.06,Active,298512.96,444388.74,275875.68,168513.06,56.45
EV-0242,Madurai,2023-11-19,Unknown,5.06,18.75,8.83,71219.22,0,18258.94,Active,233628.66,1335360.38,647124.65,688235.73,294.59
EV-0243,Chennai,2023-10-28,L2,9.1,18.56,8.42,56742.02,6,21900.16,Active,155279.25,1053131.89,499667.97,553463.92,356.43
EV-0244,Chennai,2023-01-18,DCFC,12.09,18.89,7.67,45047.91,6,24005.23,Active,1435357.29,850955.02,369522.7,481432.32,33.54
EV-0245,Hyderabad,2023-03-25,L2,5.41,19.33,7.92,41475.92,5,19446.43,Under Maintenance,215561.81,801729.53,347935.72,453793.81,210.52
EV-0246,Bangalore,2023-06-14,Unknown,6.67,16.9,7.85,60077.44,6,15403.37,Active,153605.65,1015308.74,487011.27,528297.47,343.93
EV-0247,Madurai,2023-04-08,DCFC,5.77,19.05,7.69,59664.78,5,15635.03,Active,1256183.0,1136614.06,474457.19,662156.87,52.71
EV-0248,Kochi,2022-05-04,L2,6.78,19.39,7.4,36551.23,5,11825.35,Active,151585.03,708728.35,282304.45,426423.9,281.31
EV-0249,Bangalore,2022-09-11,L2,8.4,17.52,8.27,32864.41,2,24644.3,Active,236680.75,575784.46,296432.97,279351.49,118.03
EV-0250,Hyderabad,2022-08-19,DCFC,6.28,19.34,7.35,33621.46,3,18714.22,Active,1503550.4,650239.04,265831.95,384407.09,25.57
EV-0251,Hyderabad,2022-03-07,L2,5.58,18.66,8.18,42976.63,9,17609.03,Under Maintenance,185640.67,801943.92,369157.86,432786.06,233.13
EV-0252,Bangalore,2022-12-13,L2,3.69,17.24,5.9,39653.22,0,18851.47,Offline,188126.86,683621.51,252805.47,430816.04,229.0
EV-0253,Hyderabad,2022-01-22,DCFC,7.95,19.07,7.4,74271.38,1,11613.55,Active,1744344.41,1416355.22,561221.76,855133.46,49.02
EV-0254,Bangalore,2023-08-26,L2,7.37,17.92,9.1,42443.29,3,19654.86,Offline,159952.68,760583.76,405888.8,354694.96,221.75
EV-0255,Coimbatore,2023-07-22,L2,3.55,19.89,7.1,31255.0,6,22779.4,Active,156733.26,621661.95,244689.9,376972.05,240.52
EV-0256,Kochi,2022-08-24,L2,8.59,18.02,8.59,32097.54,1,8096.51,Active,273398.44,578397.67,283814.38,294583.29,107.75
EV-0257,Bangalore,2023-08-26,DCFC,6.31,15.92,7.18,47240.43,7,26561.72,Active,1698170.76,752067.65,365748.01,386319.64,22.75
EV-0258,Hyderabad,2022-08-14,L2,9.07,19.03,8.78,22668.14,3,15313.95,Offline,259005.01,431374.7,214340.22,217034.48,83.8
EV-0259,Hyderabad,2022-01-08,Unknown,8.22,18.96,7.7,49098.19,5,12404.08,Active,202911.75,930901.68,390460.14,540441.54,266.34
EV-0260,Chennai,2022-03-14,L2,7.55,16.34,7.66,29956.86,7,9533.72,Active,273188.17,489495.09,239003.27,250491.82,91.69
EV-0261,Chennai,2023-12-26,L2,5.56,20.0,8.05,67379.16,5,20259.6,Active,230966.18,1347583.2,562661.84,784921.36,339.84
EV-0262,Coimbatore,2023-10-09,L2,7.94,19.9,6.66,51748.44,6,16039.95,Active,195646.54,1029793.96,360684.56,669109.4,342.0
EV-0263,Chennai,2022-03-02,L2,9.19,16.76,8.97,81815.35,1,13964.35,Active,215591.52,1371225.27,747848.04,623377.23,289.15
EV-0264,Bangalore,2022-08-23,L2,7.98,17.18,9.3,46576.99,2,17711.91,Active,159865.17,800192.69,450877.92,349314.77,218.51
EV-0265,Hyderabad,2022-03-11,L2,4.82,18.22,7.64,3023.84,1,14362.6,Active,291736.3,55094.36,37464.74,17629.62,6.04
EV-0266,Chennai,2022-02-02,L2,7.17,16.98,8.52,71865.22,5,11479.64,Active,242867.46,1220271.44,623771.31,596500.13,245.61
EV-0267,Chennai,2022-12-05,L2,9.33,19.78,8.78,57528.85,2,15644.76,Active,259685.12,1137920.65,520748.06,617172.59,237.66
EV-0269,Madurai,2023-06-11,L2,5.99,16.31,6.89,34961.25,2,6129.06,Active,250162.5,570217.99,247012.07,323205.92,129.2
EV-0270,Coimbatore,2022-09-01,DCFC,8.64,16.86,9.59,49357.28,2,11852.17,Active,1449958.49,832163.74,485188.49,346975.25,23.93
EV-0271,Bangalore,2022-10-13,L2,9.34,20.88,7.61,52796.91,2,8678.02,Active,228805.69,1102399.48,410462.51,691936.97,302.41
EV-0274,Chennai,2022-08-08,DCFC,6.91,18.08,8.61,91530.38,2,17484.25,Active,1537238.46,1654869.27,805560.82,849308.45,55.25
EV-0275,Hyderabad,2023-07-07,DCFC,8.52,17.62,8.26,62537.44,1,14408.58,Active,1555598.37,1101909.69,530967.83,570941.86,36.7
EV-0276,Hyderabad,2022-05-16,L2,7.26,19.6,7.03,56308.76,4,695.42,Active,193484.32,1103651.7,396546.0,707105.7,365.46
EV-0277,Chennai,2024-01-11,L2,6.64,18.65,8.8,51410.99,6,13511.23,Active,229773.2,958814.96,465927.94,492887.02,214.51
EV-0278,Coimbatore,2023-08-08,DCFC,12.87,15.28,10.9,59662.88,3,11920.37,Active,1642349.27,911648.81,662245.76,249403.05,15.19
EV-0279,Chennai,2023-08-14,L2,5.75,20.56,8.88,39841.96,3,7110.18,Active,221213.26,819150.7,360906.78,458243.92,207.15
EV-0280,Madurai,2023-04-30,L2,5.71,21.19,8.5,49353.39,3,15025.44,Active,246765.85,1045798.33,434529.26,611269.07,247.71
EV-0281,Hyderabad,2022-09-06,Unknown,9.83,19.97,8.72,62783.24,4,7546.68,Active,224987.16,1253781.3,555016.53,698764.77,310.58
EV-0282,Kochi,2023-04-30,L2,8.4,16.32,7.67,40410.71,1,4751.16,Under Maintenance,244690.84,659502.79,314701.31,344801.48,140.91
EV-0284,Bangalore,2022-07-14,DCFC,12.23,14.78,7.65,46391.45,6,24506.65,Active,1789090.33,685665.63,379401.24,306264.39,17.12
EV-0285,Chennai,2022-04-07,L2,7.29,21.69,7.43,53127.17,4,16969.42,Active,170535.21,1152328.32,411704.29,740624.03,434.29
EV-0286,Chennai,2022-04-10,L2,11.25,17.79,7.65,58994.76,1,20156.17,Active,192875.72,1049516.78,471466.08,578050.7,299.7
EV-0287,Bangalore,2023-11-06,DCFC,7.94,23.17,7.64,70527.47,4,22299.27,Active,1494077.32,1634121.48,561129.14,1072992.34,71.82
EV-0288,Bangalore,2023-03-18,DCFC,11.24,22.41,7.76,47531.34,3,16304.79,Active,1285696.97,1065177.33,385147.99,680029.34,52.89
EV-0289,Bangalore,2022-12-29,L2,8.5,16.69,7.73,55474.43,2,11955.24,Active,218383.41,925868.24,440772.58,485095.66,222.13
EV-0290,Hyderabad,2023-03-10,DCFC,6.01,17.08,8.24,80235.89,2,12063.13,Active,1575461.65,1370429.0,673206.86,697222.14,44.26
EV-0291,Madurai,2023-02-25,DCFC,5.07,19.43,8.08,47359.29,3,9783.31,Active,1348213.12,920191.0,392446.37,527744.63,39.14
EV-0292,Chennai,2023-04-24,DCFC,14.48,14.99,8.17,52948.35,4,28381.58,Active,1346192.4,793695.77,460969.6,332726.17,24.72
EV-0293,Hyderabad,2024-01-17,L2,9.84,17.62,9.52,80213.46,5,17634.51,Under Maintenance,202962.17,1413361.17,781266.65,632094.52,311.43
EV-0294,Bangalore,2022-02-25,L2,6.15,17.42,8.08,59562.16,5,6674.98,Active,150927.44,1037572.83,487937.23,549635.6,364.17
EV-0296,Hyderabad,2023-11-01,L2,4.88,18.82,8.35,38067.84,5,9540.07,Active,204100.45,716436.75,327406.53,389030.22,190.61
EV-0297,Madurai,2023-10-24,DCFC,5.76,17.93,7.55,60343.69,3,16586.73,Active,1550694.93,1081962.36,472181.59,609780.77,39.32
EV-0298,Hyderabad,2022-04-11,L2,9.21,17.24,9.35,56345.07,8,20382.55,Under Maintenance,258123.78,971389.01,547208.95,424180.06,164.33
EV-0299,Madurai,2022-03-04,L2,6.7,20.29,7.92,52438.7,8,17240.93,Active,187645.92,1063981.22,432555.43,631425.79,336.5
EV-0300,Bangalore,2023-02-17,L2,4.49,17.51,5.61,82418.36,4,11494.04,Active,173562.55,1443145.48,473861.04,969284.44,558.46
EV-0301,Madurai,2024-01-16,L2,7.16,18.4,8.0,40737.69,1,13405.11,Under Maintenance,191708.03,749573.5,339306.63,410266.87,214.01
EV-0302,Chennai,2022-12-14,DCFC,16.43,17.22,7.75,48883.79,2,12053.62,Active,1571496.01,841778.86,390902.99,450875.87,28.69
EV-0303,Bangalore,2022-04-22,DCFC,9.17,15.46,9.61,20553.35,5,12628.78,Active,1571752.26,317754.79,210146.47,107608.32,6.85
EV-0304,Chennai,2022-09-12,DCFC,5.72,16.51,7.1,51463.7,6,28845.37,Under Maintenance,1222655.48,849665.69,394237.64,455428.05,37.25
EV-0305,Coimbatore,2022-07-16,L2,11.98,17.5,7.67,38017.22,3,22220.56,Active,183421.03,665301.35,313812.64,351488.71,191.63
EV-0306,Coimbatore,2022-07-14,L2,3.05,17.97,9.27,65857.05,6,11426.16,Active,299144.95,1183451.19,621921.01,561530.18,187.71
EV-0307,Madurai,2023-07-04,L2,5.6,18.06,8.39,49353.39,4,14808.06,Active,175174.73,891322.22,428883.0,462439.22,263.99
EV-0309,Coimbatore,2022-05-24,L2,5.82,17.52,7.24,59739.13,3,6680.79,Active,255756.67,1046629.56,439192.09,607437.47,237.51
EV-0311,Bangalore,2022-07-07,L2,7.94,20.4,7.97,56804.34,5,24968.18,Active,199610.87,1158808.54,477698.77,681109.77,341.22
EV-0313,Chennai,2023-04-19,DCFC,6.0,19.01,7.28,54787.4,5,19786.24,Active,1228651.16,1041508.47,418638.51,622869.96,50.7
EV-0314,Hyderabad,2022-09-13,DCFC,6.61,17.76,7.19,46986.46,5,11985.33,Active,1373004.86,834479.53,349817.98,484661.55,35.3
EV-0315,Chennai,2022-03-19,L2,5.49,12.81,7.01,48944.92,2,5026.1,Under Maintenance,159176.98,626984.43,348129.99,278854.44,175.19
EV-0316,Hyderabad,2023-03-30,L2,6.82,18.54,8.93,36524.5,2,15413.61,Active,206162.88,677164.23,341577.39,335586.84,162.78
EV-0317,Chennai,2023-07-18,DCFC,12.72,19.11,8.8,54506.69,4,22310.61,Active,1280907.82,1041622.85,501969.48,539653.37,42.13
EV-0318,Madurai,2022-04-11,L2,1.21,15.27,8.94,62363.45,3,15904.26,Active,290881.05,952289.88,573433.5,378856.38,130.24
EV-0319,Kochi,2022-02-21,DCFC,9.68,19.5,8.0,25218.55,3,14577.12,Active,1784104.31,491761.72,216325.52,275436.2,15.44
EV-0321,Bangalore,2023-07-08,L2,4.34,19.18,7.78,52520.71,0,12413.64,Active,193948.28,1007347.22,421024.76,586322.46,302.31
EV-0322,Chennai,2022-01-16,L2,7.02,18.0,9.02,14790.25,4,12499.12,Active,157532.39,266224.5,145907.17,120317.33,76.38
EV-0323,Chennai,2022-04-06,L2,6.77,21.0,6.18,76103.97,4,14878.47,Active,274502.5,1598183.37,485201.0,1112982.37,405.45
EV-0324,Hyderabad,2024-02-11,L2,9.49,18.95,7.49,39333.34,2,10830.98,Active,285944.46,745366.79,305437.7,439929.09,153.85
EV-0325,Bangalore,2022-08-31,L2,7.18,20.5,7.11,35928.69,4,10140.43,Active,166841.94,736538.14,265593.42,470944.72,282.27
EV-0326,Bangalore,2022-06-20,Unknown,16.91,20.67,9.36,46889.87,4,26800.58,Under Maintenance,1267036.7,969213.61,465689.76,503523.85,39.74
EV-0327,Coimbatore,2023-02-21,L2,4.15,16.26,7.52,52060.59,1,16530.51,Active,289782.49,846505.19,408026.15,438479.04,151.31
EV-0328,Madurai,2023-05-13,L2,6.85,17.02,6.36,38652.91,1,15135.67,Offline,171781.75,657872.53,260968.18,396904.35,231.05
EV-0329,Madurai,2023-05-08,DCFC,3.71,19.4,8.22,64706.2,1,24711.33,Under Maintenance,1281766.38,1255300.28,556596.29,698703.99,54.51
EV-0330,Madurai,2022-08-07,DCFC,6.74,17.77,7.63,55995.6,1,14676.82,Under Maintenance,1214698.04,995041.81,441923.25,553118.56,45.54
EV-0331,Madurai,2023-02-15,L2,6.21,18.02,7.44,37441.37,2,20593.88,Under Maintenance,154508.75,674693.49,299157.67,375535.82,243.05
EV-0332,Madurai,2022-03-02,L2,6.11,21.07,7.34,42163.92,1,13699.85,Active,155440.99,888393.79,323183.02,565210.77,363.62
EV-0334,Madurai,2023-01-24,L2,8.34,16.56,8.71,31199.89,2,18355.68,Active,235663.89,516670.18,290106.72,226563.46,96.14
EV-0335,Madurai,2022-01-03,L2,2.48,16.83,8.22,49353.39,1,12612.32,Active,195997.25,830617.55,418297.19,412320.36,210.37
EV-0336,Bangalore,2023-02-04,L2,4.25,22.86,7.8,37597.03,3,9716.51,Offline,206801.2,859468.11,302973.34,556494.77,269.1
EV-0338,Coimbatore,2023-04-11,L2,3.55,15.77,7.83,51063.85,3,4468.58,Active,204977.58,805276.91,404298.53,400978.38,195.62
EV-0339,Kochi,2022-10-20,DCFC,6.62,14.96,8.26,29707.65,3,18033.98,Active,1250502.26,444426.44,263419.17,181007.27,14.47
EV-0340,Madurai,2023-03-10,DCFC,6.37,17.25,8.3,32849.79,1,3615.9,Active,1327002.5,566658.88,276269.16,290389.72,21.88
EV-0341,Chennai,2023-12-15,L2,2.99,18.11,8.16,65794.55,2,22918.25,Active,259339.95,1191539.3,559801.78,631737.52,243.59
EV-0342,Hyderabad,2024-01-19,DCFC,2.87,20.4,7.08,48852.3,3,17074.64,Active,1788231.21,996586.92,362948.92,633638.0,35.43
EV-0343,Chennai,2023-07-24,L2,0.06,20.2,5.6,64879.92,2,18276.12,Active,160447.24,1310574.38,381603.67,928970.71,578.99
EV-0344,Kochi,2023-11-09,DCFC,3.45,18.49,9.8,44502.68,4,14592.27,Active,1629978.95,822854.55,450718.53,372136.02,22.83
EV-0345,Hyderabad,2024-01-06,L2,6.54,17.59,6.69,41596.52,4,17324.4,Active,155935.64,731682.79,295605.12,436077.67,279.65
EV-0346,Kochi,2023-05-14,L2,6.89,19.18,6.04,66791.71,4,20447.96,Active,294749.71,1281065.0,423869.89,857195.11,290.82
EV-0347,Bangalore,2022-06-08,L2,7.0,15.0,8.13,37121.34,2,15907.36,Active,244093.95,556820.1,317703.85,239116.25,97.96
EV-0348,Hyderabad,2022-07-14,DCFC,4.56,22.46,6.29,57335.81,3,12393.84,Under Maintenance,1465824.01,1287762.29,373036.08,914726.21,62.4
EV-0349,Bangalore,2022-10-31,DCFC,11.62,19.81,7.2,46823.25,3,20848.3,Active,1660933.6,927568.58,357975.7,569592.88,34.29
EV-0350,Chennai,2022-08-11,L2,7.49,20.23,8.55,63180.85,3,14878.47,Active,235474.27,1278148.6,555074.74,723073.86,307.07
EV-0351,Chennai,2022-03-01,DCFC,5.99,16.35,9.77,77277.26,4,18815.52,Active,1386475.15,1263483.2,773814.35,489668.85,35.32
EV-0352,Hyderabad,2023-08-17,L2,6.81,21.07,8.39,44117.33,0,19445.33,Active,266140.01,929552.14,389589.73,539962.41,202.89
EV-0353,Hyderabad,2024-01-24,L2,8.14,17.58,7.56,41792.87,3,24542.99,Active,231870.97,734718.65,340497.09,394221.56,170.02
EV-0354,Madurai,2023-07-10,L2,5.27,16.59,7.95,59987.13,4,19507.31,Active,215000.08,995186.49,496404.99,498781.5,231.99
EV-0355,Kochi,2022-03-04,L2,9.16,18.42,6.19,33769.95,1,18735.68,Under Maintenance,294447.04,622042.48,227771.67,394270.81,133.9
EV-0356,Kochi,2024-02-05,L2,5.33,18.37,7.55,74246.98,2,16738.16,Active,208609.36,1363917.02,577302.86,786614.16,377.08
EV-0357,Madurai,2022-11-18,DCFC,4.35,16.34,7.55,71690.34,5,11115.65,Active,1441620.77,1171420.16,552377.72,619042.44,42.94
EV-0358,Madurai,2022-02-28,L2,7.89,16.71,8.15,35013.21,0,10662.09,Under Maintenance,249865.86,585070.74,296019.75,289050.99,115.68
EV-0359,Bangalore,2022-02-21,L2,11.58,16.55,9.94,26253.13,1,10611.89,Active,271421.79,434489.3,271568.0,162921.3,60.03
EV-0360,Hyderabad,2023-08-22,L2,6.71,16.57,6.06,32591.34,2,17773.66,Active,243932.25,540038.5,215277.18,324761.32,133.14
EV-0361,Chennai,2023-05-04,DCFC,14.56,17.72,7.59,32819.46,4,2551.63,Active,1239564.53,581560.83,251651.33,329909.5,26.61
EV-0363,Kochi,2023-06-28,L2,3.4,17.12,7.5,73237.55,4,17093.28,Under Maintenance,221924.53,1253826.86,566374.9,687451.96,309.77
EV-0364,Chennai,2022-06-11,DCFC,12.45,20.59,7.14,61851.89,5,16196.84,Under Maintenance,1411753.74,1273530.42,457819.33,815711.09,57.78
EV-0365,Madurai,2022-02-28,L2,7.31,20.15,6.51,46457.12,3,12490.38,Active,252036.97,936110.97,314926.23,621184.74,246.47
EV-0366,Kochi,2023-06-05,DCFC,5.61,16.4,8.91,55137.48,2,16614.41,Active,1773967.11,904254.67,507889.36,396365.31,22.34
EV-0367,Bangalore,2022-03-24,L2,8.08,20.42,8.26,36953.33,3,13545.73,Active,150188.52,754587.0,318780.24,435806.76,290.17
EV-0369,Chennai,2022-03-12,L2,4.24,23.36,7.47,56480.43,2,9836.72,Under Maintenance,195902.29,1319382.84,431745.53,887637.31,453.1
EV-0370,Hyderabad,2023-09-02,L2,9.15,21.1,7.93,61597.97,0,14080.44,Offline,179494.81,1299717.17,502552.34,797164.83,444.12
EV-0371,Kochi,2022-03-11,DCFC,9.16,17.38,9.59,39086.96,4,23260.85,Active,1629446.42,679331.36,398104.8,281226.56,17.26
EV-0373,Chennai,2022-08-29,L2,10.8,15.7,8.81,60876.1,6,9264.95,Active,221181.96,955754.77,545583.39,410171.38,185.45
EV-0374,Bangalore,2023-02-18,L2,5.78,18.62,7.38,71652.69,3,19790.68,Active,160402.75,1334173.09,548587.53,785585.56,489.76
EV-0375,Coimbatore,2022-05-03,L2,6.71,18.13,8.72,40878.5,4,17616.77,Active,157900.97,741127.2,374077.29,367049.91,232.46
EV-0376,Chennai,2023-08-07,L2,6.29,16.83,7.45,61706.78,1,16063.09,Active,193936.61,1038525.11,475778.6,562746.51,290.17
EV-0377,Coimbatore,2022-09-10,L2,7.81,17.56,6.1,39318.92,3,8406.79,Active,194364.92,690440.24,248252.2,442188.04,227.5
EV-0378,Madurai,2023-08-16,L2,7.18,17.37,7.99,81757.91,1,9116.93,Active,167646.93,1420134.9,662362.63,757772.27,452.0
EV-0379,Coimbatore,2023-09-01,L2,7.14,16.24,7.53,43777.63,3,7313.41,Active,210718.74,710948.71,336958.96,373989.75,177.48
EV-0380,Bangalore,2022-02-10,DCFC,7.11,16.78,6.38,59652.58,4,25736.49,Under Maintenance,1541008.35,1000970.29,406319.95,594650.34,38.59
EV-0381,Madurai,2023-09-27,Unknown,2.28,15.62,8.19,52484.14,5,20099.34,Active,153908.33,819802.27,449944.45,369857.82,240.31
EV-0382,Coimbatore,2022-03-25,L2,9.36,20.21,7.11,89079.55,4,17326.34,Under Maintenance,282858.12,1800297.71,650681.94,1149615.77,406.43
EV-0383,Madurai,2023-03-06,L2,5.14,16.64,11.09,53448.52,1,24749.51,Active,282902.85,889383.37,617493.6,271889.77,96.11
EV-0384,Coimbatore,2023-11-05,L2,6.38,16.06,6.54,42274.16,4,12790.48,Active,181377.34,678923.01,289263.49,389659.52,214.83
EV-0385,Bangalore,2023-08-21,DCFC,13.17,20.18,6.79,59592.6,4,20072.48,Active,1335411.06,1202578.67,424706.23,777872.44,58.25
EV-0386,Coimbatore,2023-08-02,L2,10.57,19.24,8.87,59258.61,1,15532.81,Active,232093.91,1140135.66,541156.68,598978.98,258.08
EV-0387,Coimbatore,2023-06-20,L2,6.9,20.11,7.87,47637.95,6,13852.51,Active,244613.03,957999.17,388763.18,569235.99,232.71
EV-0388,Coimbatore,2022-11-20,DCFC,5.51,20.33,8.85,33578.51,1,17493.55,Active,1328761.2,682651.11,314663.36,367987.75,27.69
EV-0389,Chennai,2022-09-25,DCFC,9.34,22.37,8.38,42080.02,6,17702.84,Active,1316921.45,941330.05,370333.41,570996.64,43.36
EV-0390,Chennai,2022-07-29,L2,6.41,18.19,7.42,63222.48,4,3909.39,Active,242730.05,1150016.91,473020.19,676996.72,278.91
EV-0391,Chennai,2023-11-17,DCFC,7.61,15.58,6.62,23788.27,8,9079.95,Active,1677327.17,370621.25,166558.3,204062.95,12.17
EV-0392,Bangalore,2024-01-04,DCFC,11.83,19.04,9.07,46279.31,8,26103.84,Active,1394702.87,881158.06,445857.18,435300.88,31.21
EV-0393,Madurai,2022-11-18,L2,6.37,17.16,6.71,64922.96,1,12370.44,Active,168351.86,1114077.99,448003.5,666074.49,395.64
EV-0394,Kochi,2022-09-02,DCFC,10.6,16.58,8.56,48597.56,4,9152.3,Active,1564989.22,805747.54,425147.41,380600.13,24.32
EV-0395,Coimbatore,2022-09-29,DCFC,6.29,18.7,8.92,82605.65,6,11904.7,Active,1604180.01,1544725.65,748747.1,795978.55,49.62
EV-0396,Coimbatore,2023-02-10,L2,1.69,20.23,7.87,50118.36,6,24762.66,Active,152495.92,1013894.42,419194.15,594700.27,389.98
EV-0397,Bangalore,2022-05-15,L2,13.18,16.83,7.7,35579.48,2,9445.53,Under Maintenance,262732.96,598802.65,283407.53,315395.12,120.04
EV-0398,Coimbatore,2023-11-19,L2,8.89,21.05,7.02,15280.49,4,18635.96,Active,185763.56,321654.31,125905.0,195749.31,105.38
EV-0399,Chennai,2023-10-23,DCFC,21.07,16.52,8.46,79905.36,6,25658.2,Under Maintenance,1341413.2,1320036.55,701657.55,618379.0,46.1
EV-0400,Kochi,2022-11-04,DCFC,3.61,18.01,4.95,35825.19,3,21707.16,Active,1699507.3,645211.67,199041.85,446169.82,26.25
